Gépcoop cikkszám;  Cikknév;Iron trade;Csavarda;Koelner;Mekrs;Fabory;Ferdinand;Reyher;Hopefix;Fastbolt;Schafer;King;Wasi
93165588ZN;HLF.RM.CSAVAR HORGANYZOTT 6X55 8.8 DIN 931;00931006005508801000;00931006005508801000;-;;01200.060.055;0209049001;009318100060055;;;;;
931655A2;HLF.RM.CSAVAR 6X55 A2 DIN 931;;;;;;11070375;;;;093126  55;;
931660109N;HLF.RM.CSAVAR NATÚR 6X60 10.9 DIN 931;;00931006006010902000;53534;;;;009311000060060;;;;;
931660109ZN;HLF.RM.CSAVAR HORGANYZOTT 6X60 10.9 DIN 931;;00931006006010901000;;;;;009311100060060;;;;;
93166056ZN;HLF.RM.CSAVAR HORGANYZOTT 6X60 5.6 DIN 931;;;-;;;;;;;;;
93166088ZN;HLF.RM.CSAVAR HORGANYZOTT 6X60 8.8 DIN 931;00931006006008801000;00931006006008801000;53174;00100.14.01.060.060;;0209050001;;;;;;
931660A2;HLF.RM.CSAVAR 6X60 A2 DIN 931;;00931006006040040000;;;51000.060.060;11070388;;;;093126  60;209316X60;
931665109N;HLF.RM.CSAVAR NATÚR 6X65 10.9 DIN 931;;00931006006510902000;53535;;;;009311000060065;;;;;
931665109ZN;HLF.RM.CSAVAR HORGANYZOTT 6X65 10.9 DIN 931;;00931006006510901000;;;;;009311100060065;;;;;
93166588ZN;HLF.RM.CSAVAR HORGANYZOTT 6X65 8.8 DIN 931;;00931006006508801000;-;;;0209051301;009318100060065;;;;;
931665A2;HLF.RM.CSAVAR 6X65 A2 DIN 931;;;;;;11070391;;;;093126  65;;
931665A4;HLF.RM.CSAVAR 6X65 A4 DIN 931;;;;;;11570396;;;;093146  65;;
931670109N;HLF.RM.CSAVAR NATÚR 6X70 10.9 DIN 931;;00931006007010902000;53536;00100.15.00.060.070;;;009311000060070;;;;;
93167056ZN;HLF.RM.CSAVAR HORGANYZOTT 6X70 5.6 DIN 931;;;-;;;;;;;;;
93167088ZN;HLF.RM.CSAVAR HORGANYZOTT 6X70 8.8 DIN 931;00931006007008801000;00931006007008801000;53175;00100.14.01.060.070;01200.060.070;0209052601;;;;;;
93167588ZN;HLF.RM.CSAVAR HORGANYZOTT 6X75 8.8 DIN 931;;00931006007508801000;-;;;0209053901;009318100060075;;;;;
931680109N;HLF.RM.CSAVAR NATÚR 6X80 10.9 DIN 931;;00931006008010902000;53538;;;;009311000060080;;;;;
93168088ZN;HLF.RM.CSAVAR HORGANYZOTT 6X80 8.8 DIN 931;00931006008008801000;00931006008008801000;53176;00100.14.01.060.080;01200.060.080;0209054201;;;;;;
931680A4;HLF.RM.CSAVAR 6X80 A4 DIN 931;;;;;;;;;;093146  80;;
93168588ZN;HLF.RM.CSAVAR HORGANYZOTT 6X85 8.8 DIN 931;;00931006008508801000;-;;;0209055501;009318100060085;;;;;
931690109N;HLF.RM.CSAVAR NATÚR 6X90 10.9 DIN 931;;00931006009010902000;66647;;;;009311000060090;;;;;
93169056ZN;HLF.RM.CSAVAR HORGANYZOTT 6X90 5.6 DIN 931;;;-;;;;;;;;;
93169088ZN;HLF.RM.CSAVAR HORGANYZOTT 6X90 8.8 DIN 931;;00931006009008801000;53043;00100.14.01.060.090;01200.060.090;0209056801;;;;;;
931690A2;HLF.RM.CSAVAR 6X90 A2 DIN 931;;;;;;11070427;;;;093126  90;;
93177088ZN;HLF.RM.CSAVAR HORGANYZOTT 7X70 8.8 DIN 931;;;-;;;;;;;;;
9318100109N;HLF.RM.CSAVAR NATÚR 8X100 10.9 DIN 931;;00931008010010902000;53556;;;;009311000080100;;;;;
9318100109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X100 10.9 DIN 931;;00931008010010901000;;;;;009311100080100;;;;;
931810056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X100 5.6 DIN 931;;;-;;;;;;;;;
931810088N;HLF.RM.CSAVAR NATÚR 8X100 8.8 DIN 931;;;;;;;009318000080100;;;;;
931810088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X100 8.8 DIN 931;00931008010008801000;00931008010008801000;53186;00100.14.01.080.100;01200.080.100;0209092401;;;;;;
9318100A2;HLF.RM.CSAVAR 8X100 A2 DIN 931;;00931008010040040000;64067;;;11070605;;;;093128  100;209318X100;
9318110109N;HLF.RM.CSAVAR NATÚR 8X110 10.9 DIN 931;;00931008011010902000;53557;;;;009311000080110;;;;;
931811056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X110 5.6 DIN 931;;;-;;;;;;;;;
931811088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X110 8.8 DIN 931;;00931008011008801000;53045;00100.14.01.080.110;;0209093701;;;;;;
9318110A2;HLF.RM.CSAVAR 8X110 A2 DIN 931;;00931008011040040000;;;;11070618;;;;093128  110;;
931811588ZN;HLF.RM.CSAVAR HORGANYZOTT 8X115 8.8 DIN 931;;;;;;;;;;;;
9318120109N;HLF.RM.CSAVAR NATÚR 8X120 10.9 DIN 931;00931008012010902000;00931008012010902000;53559;00100.15.00.080.120;04100.080.120;;009311000080120;;;;;
9318120109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X120 10.9 DIN 931;;00931008012010901000;;;;;009311100080120;;;;;
931812056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X120 5.6 DIN 931;;;-;;;;;;;;;
931812088TZN;HLF.RM.CSAVAR TŰZIHORGANYZOTT 8X120 8.8 DIN 931;;;;;;;;;;;;
931812088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X120 8.8 DIN 931;00931008012008801000;00931008012008801000;53046;00100.14.01.080.120;01200.080.120;0209094001;;;;;;
9318120A2;HLF.RM.CSAVAR 8X120 A2 DIN 931;;00931008012040040000;64068;;;11070621;;;;093128  120;;
931813056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X130 5.6 DIN 931;;;-;;;;;;;;;
931813088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X130 8.8 DIN 931;00931008013008801000;00931008013008801000;54633;00100.14.01.080.130;01200.080.130;0209095301;;;;;;
9318130A2;HLF.RM.CSAVAR 8X130 A2 DIN 931;;;;;;11070634;;;;093128  130;;
9318140109N;HLF.RM.CSAVAR NATÚR 8X140 10.9 DIN 931;;00931008014010902000;53851;;;;009311000080140;;;;;
9318140109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X140 10.9 DIN 931;;00931008014010901000;;;;;009311100080140;;;;;
931814088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X140 8.8 DIN 931;00931008014008801000;00931008014008801000;54634;00100.14.01.080.140;-;0209096601;;;093100801400008201;;;
9318140A2;HLF.RM.CSAVAR 8X140 A2 DIN 931;;;;;;11070647;;;;093128  140;;
9318150109N;HLF.RM.CSAVAR NATÚR 8X150 10.9 DIN 931;;00931008015010902000;53852;;;;009311000080150;;;;;
931815088N;HLF.RM.CSAVAR NATÚR 8X150 8.8 DIN 931;;;;;;;009318000080150;;;;;
931815088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X150 8.8 DIN 931;;00931008015008801000;54635;00100.14.01.080.150;;0209097901;;;;;;
9318160109N;HLF.RM.CSAVAR NATÚR 8X160 10.9 DIN 931;;00931008016010902000;53853;;;;009311000080160;;;;;
931816088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X160 8.8 DIN 931;00931008016008801000;00931008016008801000;54636;00100.14.01.080.160;;0209098201;;;;;;
931817088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X170 8.8 DIN 931;;;-;00100.14.01.080.170;;;009318100080170;;;;;
931818088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X180 8.8 DIN 931;;00931008018008801000;59204;00100.14.01.080.180;;0209100401;;;;;;
931820088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X200 8.8 DIN 931;;00931008020008801000;59205;00100.14.01.080.200;;0209103301;;;093100802000008201;;;
9318220109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X220 10.9 DIN 931;;;;;;;;;;;;
931822088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X220 8.8 DIN 931;;;-;;;;009318100080220;;;;;
931830109N;HLF.RM.CSAVAR NATÚR 8X30 10.9 DIN 931;;00931008003010902000;53539;;;;;;;;;
93183088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X30 8.8 DIN 931;;00931008003008801000;64260;00100.14.01.080.030;;;;;;;;
93183088ZN15MM;HLF.RM.CSAVAR HORGANYZOTT 8X30 8.8 /15MM MENETTEL/;;;-;;;;;;;;;
931830A2;HLF.RM.CSAVAR 8X30 A2 DIN 931;;;;;51000.080.030;;;;;093128  30;;
931830A4;HLF.RM.CSAVAR 8X30 A4 DIN 931;;;;;;;;;;093148  30;;
931835109FLZNTL;HLF.RM.CSAVAR FLZN/TL480H 8X35 10.9 DIN 931;;;;;;;004014103500080035;;;;;
931835109N;HLF.RM.CSAVAR NATÚR 8X35 10.9 DIN 931;;00931008003510902000;53540;;;;009311000080035;;;;;
931835109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X35 10.9 DIN 931;;00931008003510901000;;;;;009311100080035;;;;;
93183588ZN;HLF.RM.CSAVAR HORGANYZOTT 8X35 8.8 DIN 931;00931008003508801000;00931008003508801000;59002;00100.14.01.080.035;01200.080.035;0209079101;;;;;;
931835A2;HLF.RM.CSAVAR 8X35 A2 DIN 931;;00931008003540040000;;;;11070498;;;;093128  35;;
931835A480;HLF.RM.CSAVAR 8X35 A4-80 DIN 931;;;;;;;;;;09314808  35;;
931840109N;HLF.RM.CSAVAR NATÚR 8X40 10.9 DIN 931;00931008004010902000;00931008004010902000;53541;;04100.080.040;;009311000080040;;;;;
931840109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X40 10.9 DIN 931;;00931008004010901000;;00100.15.01.080.040;;;009311100080040;;;;;
931840129N;HLF.RM.CSAVAR NATÚR 8X40 12.9 DIN 931;;;;;;;;;;;;
93184056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X40 5.6 DIN 931;;;-;;;;;;;;;
93184088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X40 8.8 DIN 931;00931008004008801000;00931008004008801000;53179;00100.14.01.080.040;01200.080.040;0209080101;;;;;;
931840A2;HLF.RM.CSAVAR 8X40 A2 DIN 931;;00931008004040040000;64064;;;11070508;;;;093128  40;;
931840A480;HLF.RM.CSAVAR 8X40 A4-80 DIN 931;;;;;;;;;;09314808  40;;
931845109N;HLF.RM.CSAVAR NATÚR 8X45 10.9 DIN 931;00931008004510902000;00931008004510902000;53542;;;;009311000080045;;;;;
931845109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X45 10.9 DIN 931;;00931008004510901000;;00100.15.01.080.045;;;009311100080045;;;;;
93184556ZN;HLF.RM.CSAVAR HORGANYZOTT 8X45 5.6 DIN 931;;;-;;;;;;;;;
93184588TZN;HLF.RM.CSAVAR TŰZIHORGANYZOTT 8X45 8.8 DIN 931;;;-;;;;009318200080045;;;;;
93184588ZN;HLF.RM.CSAVAR HORGANYZOTT 8X45 8.8 DIN 931;00931008004508801000;00931008004508801000;53180;00100.14.01.080.045;01200.080.045;0209081401;;;;;;
931845A2;HLF.RM.CSAVAR 8X45 A2 DIN 931;;00931008004540040000;64065;;51000.080.045;11070511;;;;093128  45;209318X45;931-2-8X45
931845A480;HLF.RM.CSAVAR 8X45 A4-80 DIN 931;;;;;;;;;;-;;
931850109N;HLF.RM.CSAVAR NATÚR 8X50 10.9 DIN 931;00931008005010902000;00931008005010902000;53543;00100.15.00.080.050;04100.080.050;;009311000080050;;;;;
931850109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X50 10.9 DIN 931;;00931008005010901000;;;;;009311100080050;;;;;
93185056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X50 5.6 DIN 931;;;-;;;;;;;;;
93185088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X50 8.8 DIN 931;00931008005008801000;00931008005008801000;53181;00100.14.01.080.050;01200.080.050;0209082701;;;;;;
931850A2;HLF.RM.CSAVAR 8X50 A2 DIN 931;;00931008005040040000;6131290;;;11070524;;;;093128  50;;
931855109N;HLF.RM.CSAVAR NATÚR 8X55 10.9 DIN 931;;00931008005510902000;53544;;04100.080.055;;009311000080055;;;;;
931855109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X55 10.9 DIN 931;;00931008005510901000;;00100.15.01.080.055;;;009311100080055;;;;;
93185556ZN;HLF.RM.CSAVAR HORGANYZOTT 8X55 5.6 DIN 931;;;-;;;;;;;;;
93185588ZN;HLF.RM.CSAVAR HORGANYZOTT 8X55 8.8 DIN 931;00931008005508801000;00931008005508801000;53822;00100.14.01.080.055;01200.080.055;0209083001;;;;;;
931855A2;HLF.RM.CSAVAR 8X55 A2 DIN 931;;00931008005540040000;6131185;;;11070537;;;;093128  55;;931-2-8X55
931860109N;HLF.RM.CSAVAR NATÚR 8X60 10.9 DIN 931;00931008006010902000;00931008006010902000;53546;00100.15.00.080.060;04100.080.060;;009311000080060;;;;;
931860109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X60 10.9 DIN 931;;00931008006010901000;;00100.15.01.080.060;;;009311100080060;;;;;
931860129N;HLF.RM.CSAVAR NATÚR 8X60 12.9 DIN 931;;;;;;;;;;;;
93186056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X60 5.6 DIN 931;;;-;;;;;;;;;
93186088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X60 8.8 DIN 931;00931008006008801000;00931008006008801000;53182;00100.14.01.080.060;01200.080.060;0209084301;;;093100800600008201;;;
931860A2;HLF.RM.CSAVAR 8X60 A2 DIN 931;;00931008006040040000;6131153;;;11070540;;;;093128  60;209318X60;931-2-8X60
931860A4;HLF.RM.CSAVAR 8X60 A4 DIN 931;;;;;;;;;;093148  60;;
931865109N;HLF.RM.CSAVAR NATÚR 8X65 10.9 DIN 931;;00931008006510902000;53547;;;;009311000080065;;;;;
93186556ZN;HLF.RM.CSAVAR HORGANYZOTT 8X65 5.6 DIN 931;;;-;;;;;;;;;
93186588ZN;HLF.RM.CSAVAR HORGANYZOTT 8X65 8.8 DIN 931;;00931008006508801000;54884;;;0209085601;;;;;;
931865A4;HLF.RM.CSAVAR 8X65 A4 DIN 931;;;;;;11570558;;;;093148  65;;
931870109N;HLF.RM.CSAVAR NATÚR 8X70 10.9 DIN 931;00931008007010902000;00931008007010902000;53549;;04100.080.070;;009311000080070;;;;;
931870109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X70 10.9 DIN 931;;00931008007010901000;;;;;009311100080070;;;;;
93187056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X70 5.6 DIN 931;;;-;;;;;;;;;
93187088TZN;HLF.RM.CSAVAR TÜZIHORGANYZOTT 8X70 8.8 DIN 931;;;;;;;000931082000080070;;;;;
93187088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X70 8.8 DIN 931;00931008007008801000;00931008007008801000;53183;00100.14.01.080.070;01200.080.070;0209086901;;;;;;
931870A2;HLF.RM.CSAVAR 8X70 A2 DIN 931;;00931008007040040000;6131154;;51000.080.070;11070566;;;;093128  70;209318X70;931-2-8X70
931875109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X75 10.9 DIN 931;;;;;;;009311100080075;;;;;
93187588ZN;HLF.RM.CSAVAR HORGANYZOTT 8X75 8.8 DIN 931;;00931008007508801000;6130251;;;0209087201;;;;;;
931875A2;HLF.RM.CSAVAR 8X75 A2 DIN 931;;;;;;11070579;;;;093128  75;;
931880109N;HLF.RM.CSAVAR NATÚR 8X80 10.9 DIN 931;;00931008008010902000;53552;;;;009311000080080;;;;;
931880109ZN;HLF.RM.CSAVAR HORGANYZOTT 8X80 10.9 DIN 931;;00931008008010901000;;;;;009311100080080;;;;;
931880129N;HLF.RM.CSAVAR NATÚR 8X80 12.9 DIN 931;;;;00100.16.00.080.080;;;;;;;;
93188056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X80 5.6 DIN 931;;;-;;;;;;;;;
93188088N;HLF.RM.CSAVAR NATÚR 8X80 8.8 DIN 931;;;;;;;009318000080080;;;;;
93188088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X80 8.8 DIN 931;00931008008008801000;00931008008008801000;53184;00100.14.01.080.080;01200.080.080;0209088501;;;093100800800008201;;;
931880A2;HLF.RM.CSAVAR 8X80 A2 DIN 931;;00931008008040040000;52952;;;11070582;;;;093128  80;209318X80;931-2-8X80
931880A4;HLF.RM.CSAVAR 8X80 A4 DIN 931;;;;;;11570587;;;;093148  80;;
93188588ZN;HLF.RM.CSAVAR HORGANYZOTT 8X85 8.8 DIN 931;;00931008008508801000;6130252;;;0209089801;;;;;;
931890109N;HLF.RM.CSAVAR NATÚR 8X90 10.9 DIN 931;00931008009010902000;00931008009010902000;53554;00100.15.00.080.090;;;009311000080090;;;;;
93189056ZN;HLF.RM.CSAVAR HORGANYZOTT 8X90 5.6 DIN 931;;;-;;;;;;;;;
93189088ZN;HLF.RM.CSAVAR HORGANYZOTT 8X90 8.8 DIN 931;;00931008009008801000;53185;;;0209090801;;;;;;
931890A2;HLF.RM.CSAVAR 8X90 A2 DIN 931;;00931008009040040000;64066;;;11070595;;;;093128  90;;
93189588ZN;HLF.RM.CSAVAR HORGANYZOTT 8X95 8.8 DIN 931;;00931008009508801000;-;;;0209091101;009318100080095;;;;;
93310100109N;HLF.TM.CSAVAR NATÚR 10X100 10.9 DIN 933;00933010010010902000;00933010010010902000;53655;00200.15.00.100.100;04110.100.100;;009331000100100;;;;;
93310100109ZN;HLF.TM.CSAVAR HORGANYZOTT 10X100 10.9 DIN 933;;00933010010010901000;-;00200.15.01.100.100;04112.100.100;;009331100100100;;;;;
93310100129N;HLF.TM.CSAVAR NATÚR 10X100 12.9 DIN 933;;;;;;;;;;;;
9331010056ZN;HLF.TM.CSAVAR HORGANYZOTT 10X100 5.6 DIN 933;00933010010005801000;00933010010005801000;05560;00200.12.01.100.100;-;;;;;;;
9331010088TZN;HLF.TM.CSAVAR TŰZIHORGANYZOTT 10X100 8.8 DIN 933;;;-;;;;009338200100100;;;;;
9331010088ZN;HLF.TM.CSAVAR HORGANYZOTT 10X100 8.8 DIN 933;00933010010008801000;00933010010008801000;52775;00200.14.01.100.100;01210.100.100;0210158301;;;;;;
93310100A2;HLF.TM.CSAVAR 10X100 A2 DIN 933;;00933010010040040000;56096;;;11081186;;;;0933210 100;2093310X100;933-2-10X100
93310100A4;HLF.TM.CSAVAR 10X100 A4 DIN 933;;00933010010041041000;58594;;55010.100.100;11581181;;;;0933410 100;4093310X100;933-4-10X100
933101088ZN;HLF.TM.CSAVAR HORGANYZOTT 10X10 8.8 DIN 933;;;-;;;0210900601;009338100100010;;;;;
9331010A2;HLF.TM.CSAVAR 10X10 A2 DIN 933;;;;;;11080996;;;;0933210 10;;
93310110109N;HLF.TM.CSAVAR NATÚR 10X110 10.9 DIN 933;;00933010011010902000;65439;;;;009331000100110;;;;;
9331011056ZN;HLF.TM.CSAVAR HORGANYZOTT 10X110 5.6 DIN 933;;00933010011005801000;54815;;;;;;;;;
9331011088N;HLF.TM.CSAVAR NATÚR 10X110 8.8 DIN 933;;;;;;;009338000100110;;;;;
9331011088ZN;HLF.TM.CSAVAR HORGANYZOTT 10X110 8.8 DIN 933;00933010011008801000;00933010011008801000;52776;00200.14.01.100.110;01210.100.110;0210727301;;;;;;
93310110A2;HLF.TM.CSAVAR 10X110 A2 DIN 933;;;63853;;;11081199;;;;0933210 110;;
93310120109N;HLF.TM.CSAVAR NATÚR 10X120 10.9 DIN 933;00933010012010902000;00933010012010902000;60912;00200.15.00.100.120;04110.100.120;;009331000100120;;;;;
9331012056ZN;HLF.TM.CSAVAR HORGANYZOTT 10X120 5.6 DIN 933;00933010012005801000;00933010012005801000;05847;;;;;;;;;
9331012088TZN;HLF.TM.CSAVAR TŰZIHORGANYZOTT 10X120 8.8 DIN 933;;;-;;;;;;;;;
9331012088ZN;HLF.TM.CSAVAR HORGANYZOTT 10X120 8.8 DIN 933;00933010012008801000;00933010012008801000;52777;00200.14.01.100.120;01210.100.120;0210160601;;;;;;
93310120A2;HLF.TM.CSAVAR 10X120 A2 DIN 933;;00933010012040040000;57173;;51010.100.120;11081209;;;;0933210 120;2093310X120;
93310120A4;HLF.TM.CSAVAR 10X120 A4 DIN 933;;;64194;;;;;;;0933410 120;;
9331012109ZN;HLF.TM.CSAVAR HORGANYZOTT 10X12 10.9 DIN 933;;;;;;;009331100100012;;;;;
933101288ZN;HLF.TM.CSAVAR HORGANYZOTT 10X12 8.8 DIN 933;00933010001208801000;;-;00200.14.01.100.012;01210.100.012;0210704001;009338100100012;;;;;
9331012A2;HLF.TM.CSAVAR 10X12 A2 DIN 933;;;;;;11081005;;;;0933210 12;;
